"species_code" "h1" "h2" "h3" "p1" "p2" "p3" "s1" "s2" "s3" "w1" "w2" "w3" "h0" "p0" "s0" "w0"
"12" "LL" 0.00407216994390971 0.00575132958070648 0.0011668745294776 266.089116939616 329.940750323964 330 0.25 -0.103166917714626 0.25 50.5401265558511 30.0628241338552 250 NA NA NA NA
"13" "N" 0.00398227654953314 0.00722131464734412 0.00104471713612092 280 311.197276437525 330 -0.303376634263868 -0.238305236176482 0.25 50.1777881305328 27.7493795650067 250 NA NA NA NA
"14" "S" 0.00295922040078014 0.00610081278330401 0.00126056746640692 265.243040015651 321.285439379309 330 0.143032460290862 -0.183271592305023 0.111905400714782 59.4820337883315 27.8556560264729 250 NA NA NA NA
"15" "Z" 0.00389204049118861 0.0060442695072944 0.00101090643932191 265.54473772038 319.735394901387 330 0.25 -0.0706895912285407 0.25 57.8450186183917 26.4024151301106 250 NA NA NA NA
"16" "CC" 0.00187767635529672 0.00343222776793333 0.00138183858378177 248.428562641568 307.856020390873 330 0.2 -0.227915176275582 0.17689521324005 45.9966459870977 29.4174174232846 229.212248678996 0.000735477062037012 172.356663280884 0.2 80
"17" "E" 0.00261120156366464 0.00158907993087202 0.00117377042717393 280 310.884468187215 330 -0.249339738816586 -0.254846745444556 0.25 50 50 250 NA NA NA NA
"18" "G" 0.00177670168683796 0.0024897920909204 0.00119891105454635 244.417745277088 295.792137070815 347.480282748913 -0.33 0.128383155940123 0.102307956114437 79.3227821507291 34.9295335377602 250 NA NA NA NA
"19" "L" 0.00167582394933073 0.00324471271606177 0.00135558180319217 232.538937052638 308.222632388679 330 0.133631371959477 -0.137927339857839 0.25 86.9069979698945 50 223.995636343078 NA NA NA NA
"20" "M" 0.00198681816392472 0.00268948061914663 0.00105425340670879 251.416271974814 312.319545934809 378.998194167477 -0.33 -0.233660150292202 -0.0174079831648845 65.9375950468886 36.1933131294916 250 NA NA NA NA
"21" "MM" 0.00265503943075921 0.00323220048133609 0.00118027631305036 272.199488471764 314.023369405435 330 -0.33 -0.106947385789817 0.25 70.2415226617629 37.0467955745655 250 NA NA NA NA
"22" "T" 0.00185786688010284 0.0025575717410107 0.00129921138653007 233.699880288701 310.420740906155 334.986918571198 -0.33 -0.33 0.104033539595055 67.7276723783514 44.5464468703269 250 NA NA NA NA
"23" "V" 0.00257815088253703 0.00271347667674557 0.00111892615097704 280 324.675238726281 332.435064315389 -0.33 -0.33 0.25 60.1127605401098 43.1308662832282 250 NA NA NA NA
"24" "X" 0.00178933529082442 0.00357289147489766 0.00145951243071461 263.640637957493 312.495682986733 330 -0.33 -0.304457823866639 0.25 73.0325275268414 47.7976066265011 216.517604588603 NA NA NA NA
"25" "NN" 0.0024216882439797 0.00429958256351612 0.00120780711490043 269.932807937434 326.206552782726 358.383170098447 -0.00679007972658585 -0.122297002582505 0.2 74.8556101235637 34.9186556951308 230.262800195436 0.000257993423688185 143.309471984003 -0.162124853291597 80
"26" "BB" 0.00166810624375708 0.0022330694385179 0.0017608591864703 268.448466473231 334.208805109403 330 0.25 -0.22688525347827 0.101457445855557 72.8708831623175 29.6915421252738 250 NA NA NA NA
"27" "KK" 0.00125449885079899 0.00217623278855198 0.00236083660591335 263.53951463957 338.042827000813 332.984074468175 0.25 -0.195023235401719 0.108614352242153 61.5818424785473 30.8478090610707 212.279793277809 NA NA NA NA
"28" "Q" 0.00135799904936792 0.00225043695124079 0.00242345808769881 264.96326340271 316.03866247341 330 -0.216424016815817 -0.33 0.0846547607577858 53.0273214423755 32.2400455393879 216.753442317637 NA NA NA NA
"29" "R" 0.00140680155417073 0.00218445269135497 0.00204156764330852 250.936395406402 324.299589347689 368.626692449374 -0.275151533886294 -0.33 -0.164685487669704 100 29.6281980954203 202.711403186502 NA NA NA NA
